  ,Class,Confidence,X,Y,Width,Height
15-09-2025 12:23,LDPE,0.830588818,313,181,37,93
15-09-2025 12:23,LDPE,0.590451419,302,185,32,100
15-09-2025 12:27,LDPE,0.407329023,607,37,54,68
15-09-2025 12:27,LDPE,0.917988658,141,406,65,70
15-09-2025 12:27,LDPE,0.491608799,71,463,143,34
15-09-2025 12:28,LDPE,0.507509708,15,217,30,50
15-09-2025 12:28,LDPE,0.449229777,62,349,124,90
15-09-2025 12:28,LDPE,0.440963745,123,467,222,26
15-09-2025 12:28,LDPE,0.872277141,36,35,73,70
15-09-2025 12:28,LDPE,0.73765254,194,137,52,33
15-09-2025 12:28,LDPE,0.678141773,29,275,24,17
15-09-2025 12:29,LDPE,0.727180958,622,424,35,24
15-09-2025 12:30,LDPE,0.849906445,53,269,104,115
15-09-2025 12:30,PETE,0.733667314,34,389,69,66
15-09-2025 12:30,LDPE,0.824936211,191,219,95,69
15-09-2025 12:30,LDPE,0.75971216,193,281,85,46
15-09-2025 12:30,LDPE,0.6737535,244,414,79,70
15-09-2025 12:30,LDPE,0.603185058,487,396,56,69
15-09-2025 12:30,LDPE,0.880743563,344,96,64,105
15-09-2025 12:30,LDPE,0.816397071,347,289,81,57
15-09-2025 12:30,LDPE,0.604649484,403,416,140,60
15-09-2025 12:30,LDPE,0.535404563,398,463,151,31
15-09-2025 12:31,PS,0.757641673,40,350,78,50
15-09-2025 12:31,LDPE,0.549737632,16,297,33,48
15-09-2025 12:31,LDPE,0.817003131,270,22,55,43
15-09-2025 12:31,LDPE,0.660787642,31,258,63,44
15-09-2025 12:34,LDPE,0.764870822,590,379,100,59
15-09-2025 12:34,LDPE,0.854735136,345,401,65,43
15-09-2025 12:34,LDPE,0.497217953,301,170,50,28
15-09-2025 12:35,LDPE,0.408024788,285,465,181,30
15-09-2025 12:36,LDPE,0.870276928,212,285,98,166
15-09-2025 12:36,LDPE,0.898944378,159,239,232,142
15-09-2025 12:37,HDPE,0.829655826,177,388,79,51
15-09-2025 12:37,LDPE,0.7279796,609,68,62,57
